potencia_inferida
100
110
120
130
128
118
128
118
116
126
136
146
156
154
164
154
144
154
154
144
154
144
154
159
159
169
179
189
179
189
189
199
209
219
229
239
237
247
257
267
277
287
277
287
292
302
312
302
312
322
332
342
352
362
367
